#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 144.000000 0.071756 2.974230 -2.301336
 145.000000 0.089558 3.019133 -0.421789
 146.000000 0.100247 2.947989 -0.500045
 147.000000 0.111946 2.914842 -1.101983
 148.000000 0.113025 2.862084 -0.359349
 149.000000 0.101934 3.024816 0.004182
 150.000000 0.090043 2.960390 -0.696796
 151.000000 0.125029 2.978397 -1.186386
 152.000000 0.073832 2.894686 -1.096467
 153.000000 0.114711 2.979179 -1.506712
 154.000000 0.071445 2.932708 -0.945149
 155.000000 0.134974 2.904616 -0.843102
 156.000000 0.131288 2.919478 -1.151612
 157.000000 0.136224 2.958896 -1.301813
 158.000000 0.102020 2.931727 -1.130724
 159.000000 0.125178 2.964804 -1.621975
 160.000000 0.122331 3.081275 -2.839245
 161.000000 0.063217 3.064410 2.360944
 162.000000 0.101038 2.889813 -1.212864
 163.000000 0.071460 3.010760 -2.191946
 164.000000 0.146798 2.923604 -2.139615
 165.000000 0.086605 2.970916 -1.471503
 166.000000 0.083561 2.898618 -1.537802
 167.000000 0.106642 3.022575 -0.421738
 168.000000 0.087664 2.983809 -1.267461
 169.000000 0.098675 2.955094 -0.262931
 170.000000 0.119089 3.027470 -1.102767
 171.000000 0.088225 3.030660 -0.556581
 172.000000 0.094383 3.079606 -0.135882
 173.000000 0.103314 3.066732 -0.946663
 174.000000 0.088602 2.898338 -0.921387
 175.000000 0.070366 2.932202 -1.966760
 176.000000 0.077182 2.850285 -2.009984
 177.000000 0.098572 2.997906 -0.746933
 178.000000 0.093389 2.956273 -0.931469
 179.000000 0.105842 3.025275 -0.173583
 180.000000 0.112336 3.035999 -1.079003
 181.000000 0.112218 2.971718 -1.601654
 182.000000 0.110697 3.013107 -1.045252
 183.000000 0.129725 3.017719 0.046868
 184.000000 0.090794 2.924932 -0.871776
 185.000000 0.067373 2.982458 -2.485779
 186.000000 0.066355 3.029789 0.517144
 187.000000 0.069255 3.079311 -0.226930
 188.000000 0.099913 2.932215 -1.742835
 189.000000 0.077444 3.021221 -2.927702
 190.000000 0.085063 2.820797 -1.611029
 191.000000 0.100344 2.825721 -1.611947
 192.000000 0.113629 2.931217 -1.588081
 193.000000 0.108974 3.124076 -0.539991
 194.000000 0.127599 2.950983 -1.246805
 195.000000 0.095108 3.018591 -1.536593
 196.000000 0.129003 2.721377 -1.559390
 197.000000 0.089418 2.983737 -1.282361
 198.000000 0.087649 2.821544 -1.168431
 199.000000 0.058678 2.944052 -0.986872
 200.000000 0.085435 2.958367 -0.991057
 201.000000 0.072674 3.011210 -1.864813
 202.000000 0.107501 2.764835 -1.274582
 203.000000 0.084762 2.906723 -1.168083
 204.000000 0.121231 2.910436 -1.502556
 205.000000 0.090057 2.916068 -1.666354
 206.000000 0.111976 3.012738 -1.404513
 207.000000 0.140768 2.897834 -1.771274
 208.000000 0.087528 2.988150 -1.120850
 209.000000 0.137998 2.910180 -1.955841
 210.000000 0.147852 2.931114 -1.897218
 211.000000 0.124104 2.885564 -1.653799
 212.000000 0.132281 2.902336 -1.941859
 213.000000 0.135787 3.005940 -1.092205
 214.000000 0.127822 2.781003 -1.891752
 215.000000 0.140293 2.817776 -1.635095
 216.000000 0.112788 2.767720 -1.499263
 217.000000 0.141668 2.884796 -2.034596
 218.000000 0.132945 2.771178 -1.673513
 219.000000 0.136180 2.985610 -1.428711
 220.000000 0.093515 3.031127 -1.292767
 221.000000 0.059612 2.941358 -1.260283
 222.000000 0.092774 2.836387 -1.372052
 223.000000 0.066417 2.899862 -2.340184
 224.000000 0.065281 2.751100 -1.448857
 225.000000 0.075755 2.905285 -1.198817
 226.000000 0.107641 2.897376 -1.579036
 227.000000 0.085017 2.868189 -1.360411
 228.000000 0.088616 2.870205 -1.928473
 229.000000 0.099132 2.977630 -1.196308
 230.000000 0.097735 3.010802 -1.474938
 231.000000 0.102259 3.013652 -1.832112
 232.000000 0.117042 2.927021 -1.740364
 233.000000 0.088427 3.119555 3.107571
 234.000000 0.088393 2.896983 -1.319485
 235.000000 0.125834 3.033605 -1.591648
 236.000000 0.126166 2.789038 -2.015269
 237.000000 0.119601 2.913164 -1.687318
 238.000000 0.116230 2.892345 -1.972845
 239.000000 0.112298 2.833480 -1.497679
 240.000000 0.094629 2.910552 -1.159962
 241.000000 0.087794 2.754158 -1.659303
 242.000000 0.135561 2.869634 -1.925936
 243.000000 0.138982 2.773021 -1.561999
 244.000000 0.122439 2.895243 -2.154407
 245.000000 0.110548 2.998962 -1.507344
 246.000000 0.073127 2.921281 -2.693596
 247.000000 0.096033 2.763028 -1.441379
 248.000000 0.098251 2.986752 -2.511244
 249.000000 0.069356 2.930711 -1.580875
 250.000000 0.119054 3.106359 -1.569697
 251.000000 0.099961 3.011700 -1.068676
 252.000000 0.111980 2.940363 -1.030439
 253.000000 0.158217 2.831581 -1.817331
 254.000000 0.099500 2.865369 -1.591533
 255.000000 0.107181 2.982191 -2.176904
 256.000000 0.077120 2.704477 -1.923373
 257.000000 0.116757 2.944058 -1.592732
 258.000000 0.090305 2.796273 -1.447476
 259.000000 0.049326 2.772062 -2.001348
 260.000000 0.099025 3.042707 -2.600427
 261.000000 0.078408 2.771942 -1.706713
 262.000000 0.078831 2.903374 -1.614836
 263.000000 0.067537 2.907152 -1.361351
 264.000000 0.053392 2.482571 -2.712374
 265.000000 0.066267 2.727160 -2.162310
 266.000000 0.060388 2.873585 -1.854451
 267.000000 0.055124 2.885646 -1.824829
 268.000000 0.070494 2.798969 -1.648561
 269.000000 0.073814 2.845336 -2.628785
 270.000000 0.079552 2.874302 -2.329745
 271.000000 0.067033 3.031276 -2.083572
 272.000000 0.095299 3.013902 -1.693986
 273.000000 0.080210 2.832701 -2.326802
 274.000000 0.103709 2.860379 -1.531715
 275.000000 0.081332 2.984938 -2.438657
 276.000000 0.082504 2.865462 -1.307385
 277.000000 0.069508 2.849496 -2.431856
 278.000000 0.080388 2.979601 -2.610247
 279.000000 0.106344 2.947582 -2.080304
 280.000000 0.083029 2.803398 -2.007596
 281.000000 0.096783 2.932177 -1.583191
 282.000000 0.105697 2.903858 -2.105244
 283.000000 0.108104 2.945508 -2.169852
 284.000000 0.121955 3.007978 -2.448989
 285.000000 0.096407 3.032639 -2.893788
 286.000000 0.106049 2.891950 -2.080476
 287.000000 0.094273 2.905562 -2.252912
 288.000000 0.092973 3.034395 -2.297233
