#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.249340 1.669416 -2.474161
 1.000000 0.266042 1.804936 -2.466411
 2.000000 0.283904 1.625264 -2.499138
 3.000000 0.307369 1.609346 -2.573671
 4.000000 0.285877 1.642273 -2.463962
 5.000000 0.299854 1.615121 -2.366683
 6.000000 0.272099 1.720760 -2.485817
 7.000000 0.318291 1.729860 -2.416935
 8.000000 0.269893 1.594581 -2.576987
 9.000000 0.255037 1.662999 -2.660797
 10.000000 0.289450 1.704801 -2.437331
 11.000000 0.326251 1.686152 -2.599402
 12.000000 0.313649 1.718551 -2.471596
 13.000000 0.352532 1.597330 -2.504074
 14.000000 0.377829 1.589850 -2.418194
 15.000000 0.357707 1.722363 -2.486357
 16.000000 0.330642 1.528737 -2.341717
 17.000000 0.316458 1.556643 -2.388284
 18.000000 0.277654 1.584708 -2.360560
 19.000000 0.320902 1.601651 -2.417952
 20.000000 0.382760 1.665168 -2.382740
 21.000000 0.351979 1.629962 -2.361067
 22.000000 0.351943 1.604866 -2.385503
 23.000000 0.367919 1.591814 -2.392714
 24.000000 0.341202 1.542917 -2.372652
 25.000000 0.349422 1.547002 -2.424540
 26.000000 0.289335 1.565031 -2.385236
 27.000000 0.293561 1.608118 -2.417927
 28.000000 0.289352 1.603366 -2.309213
 29.000000 0.292175 1.673219 -2.319885
 30.000000 0.267149 1.579615 -2.381572
 31.000000 0.257343 1.683120 -2.436302
 32.000000 0.278924 1.657372 -2.432006
 33.000000 0.247488 1.601956 -2.495243
 34.000000 0.248627 1.657940 -2.474769
 35.000000 0.259741 1.526588 -2.212204
 36.000000 0.234715 1.607826 -2.336182
 37.000000 0.237658 1.590005 -2.411049
 38.000000 0.241348 1.492099 -2.277034
 39.000000 0.258435 1.599877 -2.340914
 40.000000 0.231742 1.498257 -2.343005
 41.000000 0.248250 1.544769 -2.397343
 42.000000 0.253827 1.606661 -2.343793
 43.000000 0.250566 1.485139 -2.347203
 44.000000 0.227919 1.615582 -2.247385
 45.000000 0.219093 1.364456 -2.515600
 46.000000 0.248264 1.714681 -2.320455
 47.000000 0.264482 1.683215 -2.270267
 48.000000 0.221041 1.478834 -2.341560
 49.000000 0.238867 1.551970 -2.386379
 50.000000 0.231505 1.610837 -2.321258
 51.000000 0.238581 1.698131 -2.338358
 52.000000 0.226515 1.542681 -2.317542
 53.000000 0.266907 1.486061 -2.501875
 54.000000 0.241078 1.692524 -2.263644
 55.000000 0.255072 1.688795 -2.276210
 56.000000 0.264607 1.712537 -2.374950
 57.000000 0.245382 1.632390 -2.332955
 58.000000 0.269018 1.621233 -2.463101
 59.000000 0.276468 1.771186 -2.379355
 60.000000 0.263300 1.640547 -2.385858
 61.000000 0.245401 1.632098 -2.548554
 62.000000 0.247701 1.664786 -2.578693
 63.000000 0.259087 1.682868 -2.489095
 64.000000 0.229580 1.531816 -2.434132
 65.000000 0.259634 1.571742 -2.542136
 66.000000 0.260114 1.514488 -2.424854
 67.000000 0.226864 1.517116 -2.486198
 68.000000 0.220726 1.618691 -2.375873
 69.000000 0.258358 1.373284 -2.428215
 70.000000 0.246652 1.481158 -2.482606
 71.000000 0.238107 1.567237 -2.514788
 72.000000 0.225270 1.531451 -2.327264
 73.000000 0.258630 1.719574 -2.356801
 74.000000 0.281851 1.776776 -2.331705
 75.000000 0.254471 1.671153 -2.508063
 76.000000 0.236599 1.668901 -2.447864
 77.000000 0.210204 1.646611 -2.533730
 78.000000 0.222858 1.544751 -2.411018
 79.000000 0.230385 1.681929 -2.513387
 80.000000 0.245678 1.689291 -2.466346
 81.000000 0.235402 1.778878 -2.505514
 82.000000 0.254416 1.644754 -2.583004
 83.000000 0.268648 1.845290 -2.420353
 84.000000 0.307498 1.861595 -2.309015
 85.000000 0.283811 1.787882 -2.395646
 86.000000 0.326971 1.843907 -2.515396
 87.000000 0.241574 1.775540 -2.377306
 88.000000 0.275228 1.760949 -2.537272
 89.000000 0.286776 1.572082 -2.554199
 90.000000 0.295930 1.648471 -2.481937
 91.000000 0.272829 1.781024 -2.522077
 92.000000 0.293113 1.829064 -2.542072
 93.000000 0.293647 1.919187 -2.458849
