#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.342963 1.360626 -2.641669
 1.000000 0.323801 1.298512 -2.477127
 2.000000 0.314308 1.335588 -2.534895
 3.000000 0.282836 1.333064 -2.388491
 4.000000 0.283787 1.294034 -2.589704
 5.000000 0.298147 1.310332 -2.553912
 6.000000 0.312967 1.342218 -2.679954
 7.000000 0.275611 1.285338 -2.368461
 8.000000 0.272305 1.269686 -2.465936
 9.000000 0.269096 1.367220 -2.524124
 10.000000 0.251845 1.229748 -2.768905
 11.000000 0.295392 1.235952 -2.631826
 12.000000 0.289902 1.195960 -2.557483
 13.000000 0.259488 1.069987 -2.581073
 14.000000 0.265956 1.194132 -2.438176
 15.000000 0.283104 1.289728 -2.521524
 16.000000 0.293394 1.347611 -2.518949
 17.000000 0.281814 1.219732 -2.490181
 18.000000 0.277902 1.196994 -2.437580
 19.000000 0.294258 1.243212 -2.590149
 20.000000 0.281425 1.119939 -2.525255
 21.000000 0.276453 1.144341 -2.576225
 22.000000 0.266248 1.160711 -2.594783
 23.000000 0.270987 1.284672 -2.676366
 24.000000 0.276271 1.207419 -2.609386
 25.000000 0.248255 1.320609 -2.587032
 26.000000 0.273263 1.386310 -2.436164
 27.000000 0.269737 1.363652 -2.436053
 28.000000 0.248742 1.266959 -2.399846
 29.000000 0.261527 1.189702 -2.459663
 30.000000 0.255633 1.143113 -2.481488
 31.000000 0.250915 1.093937 -2.449895
 32.000000 0.249938 1.284557 -2.394365
 33.000000 0.255918 1.068899 -2.545681
 34.000000 0.256630 1.209803 -2.463942
 35.000000 0.247042 1.176586 -2.589611
 36.000000 0.255073 1.293448 -2.411385
 37.000000 0.247462 1.186040 -2.274932
 38.000000 0.230354 1.232108 -2.433435
 39.000000 0.264220 1.367249 -2.659366
 40.000000 0.264284 1.346570 -2.554757
 41.000000 0.243024 1.289796 -2.487709
 42.000000 0.254734 1.402449 -2.362840
 43.000000 0.236350 1.247176 -2.644839
 44.000000 0.210969 1.150819 -2.529334
 45.000000 0.249417 1.338959 -2.506824
 46.000000 0.234513 1.167246 -2.563116
 47.000000 0.231821 1.286501 -2.495576
 48.000000 0.226662 1.180385 -2.451908
 49.000000 0.240503 1.225113 -2.327469
 50.000000 0.228404 1.123430 -2.535819
 51.000000 0.238983 1.304608 -2.616661
 52.000000 0.243099 1.303363 -2.621821
 53.000000 0.244623 1.229022 -2.597267
 54.000000 0.243520 1.253896 -2.486971
 55.000000 0.224315 1.208949 -2.573898
 56.000000 0.280585 1.392566 -2.379266
 57.000000 0.262735 1.282217 -2.584405
 58.000000 0.236828 1.241486 -2.477671
 59.000000 0.227152 1.133321 -2.588423
 60.000000 0.248420 1.101555 -2.603210
 61.000000 0.235484 1.131015 -2.687862
 62.000000 0.231797 1.121665 -2.683169
 63.000000 0.255828 1.130521 -2.654167
 64.000000 0.251756 1.202388 -2.648819
 65.000000 0.253860 1.111062 -2.799253
 66.000000 0.185488 1.149599 -2.846371
 67.000000 0.241218 1.061666 -2.726726
 68.000000 0.231323 1.022512 -2.726106
 69.000000 0.210440 0.967881 -2.764082
 70.000000 0.212158 1.093943 -2.778504
 71.000000 0.233122 1.472250 -2.811391
 72.000000 0.234538 1.302422 -2.962475
 73.000000 0.266262 1.291765 -2.807805
 74.000000 0.248454 1.231078 -2.720849
 75.000000 0.226082 1.212877 -2.694454
 76.000000 0.225719 1.164142 -2.782599
 77.000000 0.228704 1.204443 -2.765576
 78.000000 0.213328 1.196753 -2.777555
 79.000000 0.218485 1.146535 -2.951050
