#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 149.000000 0.830762 0.984904 1.352711
 150.000000 0.785612 0.982597 1.362533
 151.000000 0.839226 1.042599 1.402867
 152.000000 0.810472 1.011041 1.438029
 153.000000 0.783739 1.003079 1.454537
 154.000000 0.778092 0.983631 1.435856
 155.000000 0.835225 0.980775 1.395147
 156.000000 0.868332 0.943649 1.375353
 157.000000 0.887953 1.035569 1.229808
 158.000000 0.899423 1.051500 1.220855
 159.000000 0.908741 1.028870 1.242361
 160.000000 0.952230 0.952516 1.278518
 161.000000 1.018628 0.987371 1.286055
 162.000000 0.994269 1.035293 1.247219
 163.000000 1.075913 1.024446 1.265109
 164.000000 1.087283 1.038078 1.227912
 165.000000 1.094744 1.042921 1.248701
 166.000000 1.097628 0.978410 1.250156
 167.000000 1.062072 1.049213 1.281030
 168.000000 1.107241 1.051491 1.215864
 169.000000 1.157778 1.049812 1.276469
 170.000000 1.113899 1.035797 1.266563
 171.000000 1.126681 0.983755 1.323235
 172.000000 1.227005 0.972461 1.249809
 173.000000 1.123564 0.914300 1.237164
 174.000000 1.155878 0.872263 1.233393
 175.000000 1.123272 0.866655 1.267592
 176.000000 1.118301 0.917526 1.139804
 177.000000 1.166676 0.906792 1.209978
 178.000000 1.111650 0.948250 1.262204
 179.000000 1.112912 0.909258 1.186227
 180.000000 1.096896 0.942931 1.186000
 181.000000 1.111822 0.908155 1.227351
 182.000000 1.097834 0.900962 1.169859
 183.000000 1.124606 0.973183 1.160413
 184.000000 1.082895 0.925699 1.137087
 185.000000 1.109838 0.940031 1.148056
 186.000000 1.101260 0.977905 1.209493
 187.000000 1.119465 0.981344 1.206121
 188.000000 1.122224 0.910709 1.253836
 189.000000 1.166796 1.006381 1.194892
 190.000000 1.107085 0.989616 1.225106
 191.000000 1.148179 1.033430 1.212545
 192.000000 1.198461 1.007873 1.223681
 193.000000 1.222949 0.979601 1.248698
 194.000000 1.190867 1.026590 1.277140
 195.000000 1.170730 0.995757 1.241602
 196.000000 1.197273 0.980047 1.189994
 197.000000 1.303304 0.992410 1.280739
 198.000000 1.332613 0.977868 1.304331
 199.000000 1.291722 1.002544 1.351311
