#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 140.000000 0.055564 0.920701 -2.742528
 141.000000 0.053274 0.751123 -2.725691
 142.000000 0.049299 0.696213 -2.520026
 143.000000 0.057164 1.012922 -2.686554
 144.000000 0.063053 1.062886 -2.710194
 145.000000 0.075296 0.839896 -2.824840
 146.000000 0.061058 1.239933 -2.529281
 147.000000 0.055221 0.978171 -2.517049
 148.000000 0.063947 1.153759 -2.674032
 149.000000 0.046675 1.012608 -2.621278
 150.000000 0.045373 1.044446 -2.543482
 151.000000 0.072937 0.964522 -2.489731
 152.000000 0.040819 0.778782 -2.364463
 153.000000 0.070224 1.254249 -2.336233
 154.000000 0.035613 0.880111 -2.431419
 155.000000 0.054781 1.082134 -2.531812
 156.000000 0.061452 1.124215 -2.301076
 157.000000 0.078495 1.059274 -2.747238
 158.000000 0.012285 1.329409 -2.606677
 159.000000 0.047931 0.659155 -2.579442
 160.000000 0.056770 1.109211 -2.872134
 161.000000 0.054401 1.074682 -2.557930
 162.000000 0.043634 0.748931 -2.450484
 163.000000 0.025243 0.799903 -2.393985
 164.000000 0.036637 0.803632 -2.413372
 165.000000 0.010924 0.982074 -2.312736
 166.000000 0.036648 0.561715 -2.811384
 167.000000 0.027799 0.283157 -2.455777
 168.000000 0.052483 0.779274 -2.787886
 169.000000 0.051268 0.956838 -2.899906
 170.000000 0.032180 1.027666 -2.584816
 171.000000 0.063061 1.045249 -2.616198
 172.000000 0.062489 0.795615 -2.634667
 173.000000 0.054814 0.899012 -2.708324
 174.000000 0.053843 0.753704 -2.154262
 175.000000 0.054768 0.969484 -2.212806
 176.000000 0.044193 1.003696 -2.618166
 177.000000 0.042683 0.974981 -2.478328
 178.000000 0.061050 1.147604 -2.686867
 179.000000 0.072322 1.129488 -2.430879
 180.000000 0.050414 1.088149 -2.239658
 181.000000 0.064533 1.145679 -2.676768
 182.000000 0.043528 1.345871 -1.971889
 183.000000 0.016572 0.649627 -2.474754
 184.000000 0.020214 1.064609 -2.516209
 185.000000 0.028625 0.540005 -2.078256
 186.000000 0.009589 0.862444 -2.116041
 187.000000 0.021344 0.916869 -2.592722
 188.000000 0.039500 0.753094 -2.884638
 189.000000 0.033178 1.188305 -2.901736
 190.000000 0.037913 0.681317 -2.393729
 191.000000 0.030085 1.004931 -2.409156
 192.000000 0.029656 0.858111 -2.614642
 193.000000 0.023137 0.386129 -2.333503
 194.000000 0.051884 1.055489 -2.084728
 195.000000 0.028112 1.050776 -2.078977
 196.000000 0.063157 1.373009 -2.400441
 197.000000 0.075211 1.077559 -2.886783
 198.000000 0.013940 0.974212 -2.156654
 199.000000 0.057629 0.974560 -2.542962
 200.000000 0.041919 0.920585 -2.268878
 201.000000 0.052239 0.986005 -2.171151
 202.000000 0.038350 1.312518 -2.082411
 203.000000 0.037766 0.750680 -2.737153
 204.000000 0.034377 0.728421 -2.728099
 205.000000 0.032824 0.927753 -2.505840
 206.000000 0.074154 1.167692 -2.386572
 207.000000 0.058513 1.015730 -2.682811
 208.000000 0.059704 1.104942 -2.528870
 209.000000 0.043448 1.067987 -2.357092
 210.000000 0.061905 1.057523 -2.609826
 211.000000 0.075250 1.117916 -2.474384
 212.000000 0.064063 1.281498 -2.571156
 213.000000 0.015356 0.638729 -2.917912
 214.000000 0.038400 1.210512 -2.459628
 215.000000 0.014925 0.916024 -3.089633
 216.000000 0.012326 0.749117 -3.119115
 217.000000 0.021049 1.278060 -2.411820
 218.000000 0.041913 1.038182 -2.255091
 219.000000 0.072842 1.018165 -2.548697
 220.000000 0.069754 1.303875 -2.452479
 221.000000 0.075479 1.088692 -2.320205
 222.000000 0.076904 1.069586 -2.418343
 223.000000 0.059198 1.151277 -2.535322
 224.000000 0.072053 1.355238 -2.418739
 225.000000 0.055398 1.128995 -2.284044
 226.000000 0.068356 1.113282 -2.451754
 227.000000 0.090085 1.274771 -2.320010
 228.000000 0.063968 1.125737 -2.218613
 229.000000 0.079591 1.348303 -2.444460
 230.000000 0.065048 1.305260 -2.240389
 231.000000 0.078601 1.228126 -2.591475
 232.000000 0.036310 1.033612 -2.497149
 233.000000 0.013776 0.873794 -2.202865
 234.000000 0.065803 1.218707 -2.167095
 235.000000 0.041914 0.727029 -2.155986
 236.000000 0.072081 1.410846 -2.429093
 237.000000 0.027123 0.958991 -3.030416
 238.000000 0.037281 1.094148 -2.750890
 239.000000 0.035403 1.233381 -2.368761
