#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 144.000000 0.059492 0.473166 -2.783027
 145.000000 0.055849 0.657619 -2.845419
 146.000000 0.048474 0.181908 -3.047407
 147.000000 0.062292 0.165366 -3.042595
 148.000000 0.042316 1.213619 -1.691575
 149.000000 0.045310 0.140037 1.330380
 150.000000 0.047231 0.079459 2.733603
 151.000000 0.042761 0.069325 0.581418
 152.000000 0.051435 0.126983 -2.823927
 153.000000 0.063664 0.493179 -2.639725
 154.000000 0.050304 0.118137 -1.701665
 155.000000 0.060975 0.768357 2.352949
 156.000000 0.052698 0.450886 -3.046078
 157.000000 0.057571 0.274308 2.196752
 158.000000 0.046049 0.144077 -2.808966
 159.000000 0.065945 0.245177 2.004205
 160.000000 0.042439 0.419627 2.519555
 161.000000 0.060060 0.400520 -2.084172
 162.000000 0.053963 0.098080 0.133027
 163.000000 0.051690 0.099022 -0.834160
 164.000000 0.048562 0.103284 -2.498015
 165.000000 0.049002 0.234246 -1.349583
 166.000000 0.039391 0.146017 -0.483325
 167.000000 0.046848 0.250397 0.210955
 168.000000 0.056393 0.350742 -2.325172
 169.000000 0.050473 0.469352 -2.361078
 170.000000 0.050159 0.228408 -0.521349
 171.000000 0.059160 0.533611 3.052014
 172.000000 0.042476 0.476735 2.840931
 173.000000 0.029895 0.303461 2.562618
 174.000000 0.035277 1.137658 2.786435
 175.000000 0.039539 0.296772 1.846224
 176.000000 0.046005 1.204820 2.720794
 177.000000 0.052981 1.080636 2.882316
 178.000000 0.038402 0.591134 2.056042
 179.000000 0.044954 1.255097 2.652495
 180.000000 0.059010 0.620506 2.549964
 181.000000 0.040675 0.145029 -2.295599
 182.000000 0.055470 0.356920 2.007408
 183.000000 0.056344 0.525560 2.518392
 184.000000 0.042520 0.120938 2.422825
 185.000000 0.030913 0.441564 1.865540
 186.000000 0.040936 0.509680 2.419502
 187.000000 0.046268 0.778583 2.746453
 188.000000 0.048781 0.679895 2.665245
 189.000000 0.035711 0.237328 -1.607242
 190.000000 0.052765 0.802639 2.450972
 191.000000 0.030061 0.103968 1.795293
 192.000000 0.041680 0.061772 0.711009
 193.000000 0.032287 0.193147 0.534407
 194.000000 0.031158 0.090109 2.635535
 195.000000 0.034877 0.532590 1.648985
 196.000000 0.046760 0.717837 2.757298
 197.000000 0.040911 1.132742 2.711238
 198.000000 0.036256 1.530751 3.111952
 199.000000 0.040780 0.573164 -2.681122
 200.000000 0.049310 0.095834 2.794552
 201.000000 0.045494 0.053182 1.290894
 202.000000 0.050413 0.058903 1.099031
 203.000000 0.048617 0.532813 2.721001
 204.000000 0.036720 0.219759 2.574203
 205.000000 0.048707 0.166541 1.503966
 206.000000 0.056172 0.506821 3.017542
 207.000000 0.043324 0.094770 -2.819808
 208.000000 0.036320 0.209008 -2.123751
 209.000000 0.054605 0.112261 -1.214747
 210.000000 0.034726 0.337640 2.352877
 211.000000 0.063379 0.816019 2.650461
 212.000000 0.061660 0.606475 2.073081
 213.000000 0.047230 0.566449 3.068753
 214.000000 0.033672 0.227559 0.699683
 215.000000 0.042104 0.548300 1.865770
 216.000000 0.039136 0.137817 0.159115
 217.000000 0.057793 0.098194 0.125863
 218.000000 0.047607 0.285101 1.031497
 219.000000 0.054850 0.249129 1.829793
 220.000000 0.031266 0.070032 -1.116475
 221.000000 0.044936 0.085878 -0.327775
 222.000000 0.044668 0.515883 1.220458
 223.000000 0.038830 0.493581 1.612312
 224.000000 0.039253 0.430160 -2.675570
 225.000000 0.045699 1.517423 -2.436250
 226.000000 0.034165 1.756090 -3.126371
 227.000000 0.038862 1.570007 -2.396221
 228.000000 0.036665 2.101269 -1.914219
 229.000000 0.053011 1.614023 3.019337
 230.000000 0.047011 1.683020 -2.734966
 231.000000 0.032319 1.916097 -2.489664
 232.000000 0.037744 1.784653 -2.062052
 233.000000 0.035501 1.689576 -2.397103
 234.000000 0.021755 1.734897 -2.952422
