#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.031831 2.465734 2.644258
 1.000000 0.042327 2.583071 1.935070
 2.000000 0.031340 2.330795 2.320575
 3.000000 0.044862 2.469351 2.488447
 4.000000 0.048042 2.322972 2.089662
 5.000000 0.042046 2.463716 2.526865
 6.000000 0.041428 2.517055 2.094410
 7.000000 0.043815 2.554481 2.380748
 8.000000 0.048149 2.428942 2.308756
 9.000000 0.038546 2.429637 2.589820
 10.000000 0.038015 2.379303 2.215460
 11.000000 0.042974 2.436431 2.661284
 12.000000 0.043056 2.494476 2.048662
 13.000000 0.024299 2.267940 1.895819
 14.000000 0.045383 2.513469 1.938083
 15.000000 0.043636 2.376076 1.945768
 16.000000 0.046785 2.501546 2.290183
 17.000000 0.038549 2.602222 2.315167
 18.000000 0.050967 2.450450 2.043968
 19.000000 0.038765 2.429906 2.145140
 20.000000 0.039986 1.705238 2.349140
 21.000000 0.034401 1.709493 2.336457
 22.000000 0.028321 2.141550 2.212466
 23.000000 0.050887 2.363590 1.825570
 24.000000 0.049146 2.394788 2.409614
 25.000000 0.035685 2.396274 2.400764
 26.000000 0.039090 2.379921 2.251899
 27.000000 0.032091 2.431104 2.204409
 28.000000 0.035516 2.098789 2.327215
 29.000000 0.040709 2.454249 2.220822
 30.000000 0.027221 2.464490 2.004864
 31.000000 0.040384 2.330836 2.142080
 32.000000 0.039246 2.297966 2.246534
 33.000000 0.036778 2.421215 1.890740
 34.000000 0.036380 2.394333 2.380661
 35.000000 0.035732 2.649523 2.173762
 36.000000 0.039617 2.325998 2.345378
 37.000000 0.035644 2.384135 2.514159
 38.000000 0.049377 2.404961 1.973783
 39.000000 0.043937 2.256396 1.920008
 40.000000 0.038590 2.594170 2.230533
 41.000000 0.044334 2.302297 2.162301
 42.000000 0.046668 2.131368 2.517947
 43.000000 0.035734 2.010639 2.243299
 44.000000 0.026183 2.377178 2.777254
 45.000000 0.048854 2.237242 2.690393
 46.000000 0.041284 2.364478 2.172500
 47.000000 0.026676 2.450348 2.067151
 48.000000 0.027897 2.235682 2.210615
 49.000000 0.044537 2.233513 1.944694
 50.000000 0.036946 2.503664 2.279865
 51.000000 0.036638 2.354213 2.487293
 52.000000 0.044799 2.346979 2.401846
 53.000000 0.041231 2.537715 2.298678
 54.000000 0.043409 2.569536 2.198480
 55.000000 0.039021 2.286795 2.343226
