#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.546003 2.116744 0.691309
 1.000000 0.541668 2.125232 0.744806
 2.000000 0.494184 2.049933 0.776137
 3.000000 0.547469 2.048788 0.759903
 4.000000 0.539106 2.133790 0.894979
 5.000000 0.543260 2.098612 0.856731
 6.000000 0.577091 2.054324 0.787356
 7.000000 0.527999 2.073357 0.746624
 8.000000 0.544510 2.139329 0.850983
 9.000000 0.549568 2.176307 0.782793
 10.000000 0.543258 2.111554 0.897048
 11.000000 0.554734 2.144925 0.821056
 12.000000 0.548259 2.095281 0.861161
 13.000000 0.494892 2.133988 0.893643
 14.000000 0.529869 2.177255 0.879474
 15.000000 0.548083 2.133063 0.778305
 16.000000 0.526835 2.065515 0.843918
 17.000000 0.499957 2.071099 0.874411
 18.000000 0.551529 2.070905 0.800758
 19.000000 0.550637 2.116404 0.853450
 20.000000 0.553423 2.124940 0.809106
 21.000000 0.545103 2.136275 0.862363
 22.000000 0.568345 2.102827 0.821041
 23.000000 0.521827 2.107886 0.842819
 24.000000 0.533012 2.035887 0.887715
 25.000000 0.532602 2.003687 0.847586
 26.000000 0.461186 1.957449 0.940513
 27.000000 0.521942 1.992057 0.932733
 28.000000 0.517358 2.050933 0.830918
 29.000000 0.509930 2.067889 0.978415
 30.000000 0.546903 2.040669 0.979451
 31.000000 0.592346 2.067941 0.984874
 32.000000 0.581518 2.177465 0.901215
 33.000000 0.564515 1.998613 1.013324
 34.000000 0.543151 2.133545 1.006700
 35.000000 0.527535 2.147858 0.902201
 36.000000 0.546279 2.155738 0.864580
 37.000000 0.563494 2.145175 0.913354
 38.000000 0.539380 2.125948 0.932645
 39.000000 0.549370 2.072592 0.853554
 40.000000 0.535050 2.135953 0.966240
 41.000000 0.529967 2.019906 0.907878
 42.000000 0.540568 2.130599 0.924432
 43.000000 0.519182 2.082724 0.840001
 44.000000 0.544558 2.089686 0.878236
 45.000000 0.529598 2.106958 0.953918
 46.000000 0.544698 2.119280 0.997318
 47.000000 0.529645 2.204880 0.940177
 48.000000 0.556566 2.143039 0.979215
 49.000000 0.556134 2.142864 0.838238
 50.000000 0.563438 2.159388 0.850896
 51.000000 0.529436 2.159070 0.863850
 52.000000 0.534474 2.080919 0.921290
 53.000000 0.540055 2.050402 0.865421
 54.000000 0.517692 2.143249 0.799700
 55.000000 0.555315 2.158458 0.772496
 56.000000 0.519278 2.152639 0.916348
 57.000000 0.523946 2.187643 0.829175
 58.000000 0.523833 2.167600 0.815593
 59.000000 0.523386 2.259125 0.868300
 60.000000 0.507263 2.195293 0.906700
 61.000000 0.517074 2.226303 0.886747
 62.000000 0.522863 2.231919 0.914917
 63.000000 0.534933 2.260059 1.006548
 64.000000 0.557757 2.209446 0.947061
 65.000000 0.564766 2.231268 1.123103
 66.000000 0.552202 2.256216 1.029909
 67.000000 0.522349 2.168412 0.976439
 68.000000 0.514775 2.228080 0.987672
 69.000000 0.528955 2.133519 1.056446
 70.000000 0.556634 2.171585 0.929974
 71.000000 0.513509 2.162221 1.077246
 72.000000 0.516175 2.132952 0.998400
 73.000000 0.537232 2.214022 1.011803
 74.000000 0.554021 2.193173 0.980688
 75.000000 0.538755 2.146240 1.018909
 76.000000 0.531682 2.161521 0.955304
 77.000000 0.565726 2.137678 0.966113
 78.000000 0.528674 2.186660 0.810638
 79.000000 0.521715 2.284763 0.852049
 80.000000 0.525940 2.229518 0.855631
 81.000000 0.558961 2.128769 0.776979
 82.000000 0.497051 2.115386 0.851924
 83.000000 0.442734 2.079476 0.784407
 84.000000 0.453695 2.166477 0.945990
 85.000000 0.497153 2.153117 0.873469
 86.000000 0.459326 2.184323 0.897271
 87.000000 0.456943 2.143075 0.840521
 88.000000 0.485871 2.070712 0.802191
 89.000000 0.504566 2.048441 0.746501
 90.000000 0.409388 2.017113 0.828914
 91.000000 0.485840 1.971664 0.778944
 92.000000 0.471082 2.046194 0.833867
 93.000000 0.443438 2.034069 0.943597
 94.000000 0.408029 1.916695 0.930664
 95.000000 0.446632 2.023347 0.820611
 96.000000 0.416805 1.956499 0.898759
 97.000000 0.424156 1.914534 0.858868
 98.000000 0.421833 1.787613 0.873686
 99.000000 0.449960 1.874222 0.903896
 100.000000 0.470932 1.970081 0.788968
 101.000000 0.485472 1.924434 0.639119
 102.000000 0.435271 2.061695 0.722222
 103.000000 0.460116 2.048515 0.762451
